name,url,winner,budget
The Pride of the Yankees,https://en.wikipedia.org/wiki/The_Pride_of_the_Yankees,False,
The Bells of St. Mary's,https://en.wikipedia.org/wiki/The_Bells_of_St._Mary%27s,False,1300000
Mildred Pierce,https://en.wikipedia.org/wiki/Mildred_Pierce_(film),False,1400000
Spellbound,https://en.wikipedia.org/wiki/Spellbound_(1945_film),False,1500000
Henry V,https://en.wikipedia.org/wiki/Henry_V_(1944_film),False,2000000
It's a Wonderful Life,https://en.wikipedia.org/wiki/It%27s_a_Wonderful_Life,False,3180000
The Razor's Edge,https://en.wikipedia.org/wiki/The_Razor%27s_Edge_(1946_film),False,1200000
The Yearling,https://en.wikipedia.org/wiki/The_Yearling_(1946_film),False,3883000
The Bishop's Wife,https://en.wikipedia.org/wiki/The_Bishop%27s_Wife,False,
Crossfire,https://en.wikipedia.org/wiki/Crossfire_(film),False,678000
Great Expectations,https://en.wikipedia.org/wiki/Great_Expectations_(1946_film),False,nan
Miracle on 34th Street,https://en.wikipedia.org/wiki/Miracle_on_34th_Street,False,630000
Johnny Belinda,https://en.wikipedia.org/wiki/Johnny_Belinda_(1948_film),False,1631000
The Red Shoes,https://en.wikipedia.org/wiki/The_Red_Shoes_(1948_film),False,nan
The Snake Pit,https://en.wikipedia.org/wiki/The_Snake_Pit,False,3800000
The Treasure of the Sierra Madre,https://en.wikipedia.org/wiki/The_Treasure_of_the_Sierra_Madre_(film),False,2500000
Anchors Aweigh,https://en.wikipedia.org/wiki/Anchors_Aweigh_(film),False,2600000
Wilson,https://en.wikipedia.org/wiki/Wilson_(1944_film),False,5200000
Since You Went Away,https://en.wikipedia.org/wiki/Since_You_Went_Away,False,3257000
The Human Comedy,https://en.wikipedia.org/wiki/The_Human_Comedy_(film),False,1000000
Random Harvest,https://en.wikipedia.org/wiki/Random_Harvest_(film),False,1210000
The Talk of the Town,https://en.wikipedia.org/wiki/The_Talk_of_the_Town_(1942_film),False,1000000
Wake Island,https://en.wikipedia.org/wiki/Wake_Island_(film),False,826000
Yankee Doodle Dandy,https://en.wikipedia.org/wiki/Yankee_Doodle_Dandy,False,1500000
For Whom the Bell Tolls,https://en.wikipedia.org/wiki/For_Whom_the_Bell_Tolls_(film),False,
Heaven Can Wait,https://en.wikipedia.org/wiki/Heaven_Can_Wait_(1943_film),False,1115400
In Which We Serve,https://en.wikipedia.org/wiki/In_Which_We_Serve,False,nan
Gaslight,https://en.wikipedia.org/wiki/Gaslight_(1944_film),False,2000000
Madame Curie,https://en.wikipedia.org/wiki/Madame_Curie_(film),False,1938000
The More the Merrier,https://en.wikipedia.org/wiki/The_More_the_Merrier,False,878000
The Ox-Bow Incident,https://en.wikipedia.org/wiki/The_Ox-Bow_Incident,False,565000
The Song of Bernadette,https://en.wikipedia.org/wiki/The_Song_of_Bernadette_(film),False,1600000
Watch on the Rhine,https://en.wikipedia.org/wiki/Watch_on_the_Rhine,False,1099000
Double Indemnity,https://en.wikipedia.org/wiki/Double_Indemnity,False,980000
The Citadel,https://en.wikipedia.org/wiki/The_Citadel_(1938_film),False,1012000
Alexander's Ragtime Band,https://en.wikipedia.org/wiki/Alexander%27s_Ragtime_Band_(film),False,nan
The Heiress,https://en.wikipedia.org/wiki/The_Heiress,False,2600000
Here Comes the Navy,https://en.wikipedia.org/wiki/Here_Comes_the_Navy,False,263000
One Hour with You,https://en.wikipedia.org/wiki/One_Hour_with_You,False,
Shanghai Express,https://en.wikipedia.org/wiki/Shanghai_Express_(film),False,
The Smiling Lieutenant,https://en.wikipedia.org/wiki/The_Smiling_Lieutenant,False,
42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(film),False,439000
A Farewell to Arms,https://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1932_film),False,900000
I Am a Fugitive from a Chain Gang,https://en.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang,False,228000
Lady for a Day,https://en.wikipedia.org/wiki/Lady_for_a_Day,False,300000
Little Women,https://en.wikipedia.org/wiki/Little_Women_(1933_film),False,424000
The Private Life of Henry VIII,https://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII,False,nan
She Done Him Wrong,https://en.wikipedia.org/wiki/She_Done_Him_Wrong,False,200000
Smilin' Through,https://en.wikipedia.org/wiki/Smilin%27_Through_(1932_film),False,851000
State Fair,https://en.wikipedia.org/wiki/State_Fair_(1933_film),False,600000
The Barretts of Wimpole Street,https://en.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street_(1934_film),False,820000
Cleopatra,https://en.wikipedia.org/wiki/Cleopatra_(1934_film),False,842908
Flirtation Walk,https://en.wikipedia.org/wiki/Flirtation_Walk,False,479000
Five Star Final,https://en.wikipedia.org/wiki/Five_Star_Final,False,310000
The Champ,https://en.wikipedia.org/wiki/The_Champ_(1931_film),False,356000
Bad Girl,https://en.wikipedia.org/wiki/Bad_Girl_(1931_film),False,100000
The Big House,https://en.wikipedia.org/wiki/The_Big_House_(1930_film),False,414000
7th Heaven,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),False,1300000
The Racket,https://en.wikipedia.org/wiki/The_Racket_(1928_film),False,
Alibi,https://en.wikipedia.org/wiki/Alibi_(1929_film),False,
Hollywood Revue,https://en.wikipedia.org/wiki/Hollywood_Revue,False,426000
In Old Arizona,https://en.wikipedia.org/wiki/In_Old_Arizona,False,
The Patriot,https://en.wikipedia.org/wiki/The_Patriot_(1928_film),False,1000000
Disraeli,https://en.wikipedia.org/wiki/Disraeli_(1929_film),False,318000
Arrowsmith,https://en.wikipedia.org/wiki/Arrowsmith_(film),False,
The Divorcee,https://en.wikipedia.org/wiki/The_Divorcee,False,
The Love Parade,https://en.wikipedia.org/wiki/The_Love_Parade,False,
East Lynne,https://en.wikipedia.org/wiki/East_Lynne_(1931_film),False,
The Front Page,https://en.wikipedia.org/wiki/The_Front_Page_(1931_film),False,
Skippy,https://en.wikipedia.org/wiki/Skippy_(film),False,
Trader Horn,https://en.wikipedia.org/wiki/Trader_Horn_(1931_film),False,1300000
The Gay Divorcee,https://en.wikipedia.org/wiki/The_Gay_Divorcee,False,520000
The House of Rothschild,https://en.wikipedia.org/wiki/The_House_of_Rothschild,False,
The Adventures of Robin Hood,https://en.wikipedia.org/wiki/The_Adventures_of_Robin_Hood,False,2033000
Imitation of Life,https://en.wikipedia.org/wiki/Imitation_of_Life_(1934_film),False,
Mr. Deeds Goes to Town,https://en.wikipedia.org/wiki/Mr._Deeds_Goes_to_Town,False,845710
Romeo and Juliet,https://en.wikipedia.org/wiki/Romeo_and_Juliet_(1936_film),False,2000000
San Francisco,https://en.wikipedia.org/wiki/San_Francisco_(1936_film),False,1300000
The Story of Louis Pasteur,https://en.wikipedia.org/wiki/The_Story_of_Louis_Pasteur,False,
A Tale of Two Cities,https://en.wikipedia.org/wiki/A_Tale_of_Two_Cities_(1935_film),False,1232000
Three Smart Girls,https://en.wikipedia.org/wiki/Three_Smart_Girls,False,326000
The Awful Truth,https://en.wikipedia.org/wiki/The_Awful_Truth,False,600000
Captains Courageous,https://en.wikipedia.org/wiki/Captains_Courageous_(1937_film),False,1600000
Dead End,https://en.wikipedia.org/wiki/Dead_End_(1937_film),False,900000
The Good Earth,https://en.wikipedia.org/wiki/The_Good_Earth_(film),False,2816000
In Old Chicago,https://en.wikipedia.org/wiki/In_Old_Chicago,False,1000000
Lost Horizon,https://en.wikipedia.org/wiki/Lost_Horizon_(1937_film),False,2000000
One Hundred Men and a Girl,https://en.wikipedia.org/wiki/One_Hundred_Men_and_a_Girl,False,762000
Stage Door,https://en.wikipedia.org/wiki/Stage_Door,False,952000
A Star Is Born,https://en.wikipedia.org/wiki/A_Star_Is_Born_(1937_film),False,1200000
Libeled Lady,https://en.wikipedia.org/wiki/Libeled_Lady,False,603000
Dodsworth,https://en.wikipedia.org/wiki/Dodsworth_(film),False,
Anthony Adverse,https://en.wikipedia.org/wiki/Anthony_Adverse,False,1192000
Captain Blood,https://en.wikipedia.org/wiki/Captain_Blood_(1935_film),False,1242000
One Night of Love,https://en.wikipedia.org/wiki/One_Night_of_Love,False,500000
The Thin Man,https://en.wikipedia.org/wiki/The_Thin_Man_(film),False,231000
Viva Villa!,https://en.wikipedia.org/wiki/Viva_Villa!,False,1022000
The White Parade,https://en.wikipedia.org/wiki/The_White_Parade,False,
Alice Adams,https://en.wikipedia.org/wiki/Alice_Adams_(1935_film),False,342000
Broadway Melody of 1936,https://en.wikipedia.org/wiki/Broadway_Melody_of_1936,False,1062000
David Copperfield,https://en.wikipedia.org/wiki/David_Copperfield_(1935_film),False,1073000
Top Hat,https://en.wikipedia.org/wiki/Top_Hat,False,609000
The Informer,https://en.wikipedia.org/wiki/The_Informer_(1935_film),False,243000
The Lives of a Bengal Lancer,https://en.wikipedia.org/wiki/The_Lives_of_a_Bengal_Lancer_(film),False,
A Midsummer Night's Dream,https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream_(1935_film),False,981000
Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(1935_film),False,
Naughty Marietta,https://en.wikipedia.org/wiki/Naughty_Marietta_(film),False,782000
Ruggles of Red Gap,https://en.wikipedia.org/wiki/Ruggles_of_Red_Gap,False,
Battleground,https://en.wikipedia.org/wiki/Battleground_(film),False,1631000
A Letter to Three Wives,https://en.wikipedia.org/wiki/A_Letter_to_Three_Wives,False,
Hannah and Her Sisters,https://en.wikipedia.org/wiki/Hannah_and_Her_Sisters,False,6400000
Julia,https://en.wikipedia.org/wiki/Julia_(1977_film),False,7840000
American Graffiti,https://en.wikipedia.org/wiki/American_Graffiti,False,777000
Cries and Whispers,https://en.wikipedia.org/wiki/Cries_and_Whispers,False,450000
The Exorcist,https://en.wikipedia.org/wiki/The_Exorcist,False,12000000
A Touch of Class,https://en.wikipedia.org/wiki/A_Touch_of_Class_(film),False,
Chinatown,https://en.wikipedia.org/wiki/Chinatown_(1974_film),False,6000000
The Conversation,https://en.wikipedia.org/wiki/The_Conversation,False,1600000
Lenny,https://en.wikipedia.org/wiki/Lenny_(film),False,2700000
The Towering Inferno,https://en.wikipedia.org/wiki/The_Towering_Inferno,False,14000000
Dog Day Afternoon,https://en.wikipedia.org/wiki/Dog_Day_Afternoon,False,3500000
Jaws,https://en.wikipedia.org/wiki/Jaws_(film),False,9000000
Nashville,https://en.wikipedia.org/wiki/Nashville_(film),False,2200000
All the President's Men,https://en.wikipedia.org/wiki/All_the_President%27s_Men_(film),False,8500000
Bound for Glory,https://en.wikipedia.org/wiki/Bound_for_Glory_(1976_film),False,10000000
Network,https://en.wikipedia.org/wiki/Network_(1976_film),False,3800000
Taxi Driver,https://en.wikipedia.org/wiki/Taxi_Driver,False,1900000
Sounder,https://en.wikipedia.org/wiki/Sounder_(film),False,1900000
The Emigrants,https://en.wikipedia.org/wiki/The_Emigrants_(film),False,1600000
Deliverance,https://en.wikipedia.org/wiki/Deliverance,False,2000000
Airport,https://en.wikipedia.org/wiki/Airport_(1970_film),False,10200000
"Rachel, Rachel","https://en.wikipedia.org/wiki/Rachel,_Rachel",False,780000
Romeo and Juliet,https://en.wikipedia.org/wiki/Romeo_and_Juliet_(1968_film),False,850000
Anne of the Thousand Days,https://en.wikipedia.org/wiki/Anne_of_the_Thousand_Days,False,4500000
Butch Cassidy and the Sundance Kid,https://en.wikipedia.org/wiki/Butch_Cassidy_and_the_Sundance_Kid,False,6000000
"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(film)",False,25000000
Z,https://en.wikipedia.org/wiki/Z_(1969_film),False,
Five Easy Pieces,https://en.wikipedia.org/wiki/Five_Easy_Pieces,False,1600000
Cabaret,https://en.wikipedia.org/wiki/Cabaret_(1972_film),False,4600000
Love Story,https://en.wikipedia.org/wiki/Love_Story_(1970_film),False,2200000
M*A*S*H,https://en.wikipedia.org/wiki/M*A*S*H_(film),False,3000000
A Clockwork Orange,https://en.wikipedia.org/wiki/A_Clockwork_Orange_(film),False,1300000
Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof_(film),False,9000000
The Last Picture Show,https://en.wikipedia.org/wiki/The_Last_Picture_Show,False,1300000
Nicholas and Alexandra,https://en.wikipedia.org/wiki/Nicholas_and_Alexandra,False,9000000
The Goodbye Girl,https://en.wikipedia.org/wiki/The_Goodbye_Girl,False,
Star Wars,https://en.wikipedia.org/wiki/Star_Wars_(film),False,11000000
Funny Girl,https://en.wikipedia.org/wiki/Funny_Girl_(film),False,14100000
The Turning Point,https://en.wikipedia.org/wiki/The_Turning_Point_(1977_film),False,
Tootsie,https://en.wikipedia.org/wiki/Tootsie,False,21000000
The Verdict,https://en.wikipedia.org/wiki/The_Verdict,False,16000000
The Big Chill,https://en.wikipedia.org/wiki/The_Big_Chill_(film),False,8000000
The Dresser,https://en.wikipedia.org/wiki/The_Dresser_(1983_film),False,nan
The Right Stuff,https://en.wikipedia.org/wiki/The_Right_Stuff_(film),False,27000000
Tender Mercies,https://en.wikipedia.org/wiki/Tender_Mercies,False,4500000
The Killing Fields,https://en.wikipedia.org/wiki/The_Killing_Fields_(film),False,14400000
A Passage to India,https://en.wikipedia.org/wiki/A_Passage_to_India_(film),False,14500000
Places in the Heart,https://en.wikipedia.org/wiki/Places_in_the_Heart,False,9500000
A Soldier's Story,https://en.wikipedia.org/wiki/A_Soldier%27s_Story,False,6000000
The Color Purple,https://en.wikipedia.org/wiki/The_Color_Purple_(1985_film),False,15000000
Kiss of the Spider Woman,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(film),False,1000000
Prizzi's Honor,https://en.wikipedia.org/wiki/Prizzi%27s_Honor,False,16000000
Witness,https://en.wikipedia.org/wiki/Witness_(1985_film),False,12000000
Children of a Lesser God,https://en.wikipedia.org/wiki/Children_of_a_Lesser_God_(film),False,10500000
Missing,https://en.wikipedia.org/wiki/Missing_(1982_film),False,9500000
E.T. the Extra-Terrestrial,https://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial,False,10500000
Reds,https://en.wikipedia.org/wiki/Reds_(film),False,32000000
Breaking Away,https://en.wikipedia.org/wiki/Breaking_Away,False,2300000
Coming Home,https://en.wikipedia.org/wiki/Coming_Home_(1978_film),False,3000000
Heaven Can Wait,https://en.wikipedia.org/wiki/Heaven_Can_Wait_(1978_film),False,6000000
Midnight Express,https://en.wikipedia.org/wiki/Midnight_Express_(film),False,
An Unmarried Woman,https://en.wikipedia.org/wiki/An_Unmarried_Woman,False,2500000
All That Jazz,https://en.wikipedia.org/wiki/All_That_Jazz_(film),False,12000000
Apocalypse Now,https://en.wikipedia.org/wiki/Apocalypse_Now,False,31000000
Norma Rae,https://en.wikipedia.org/wiki/Norma_Rae,False,4500000
Raiders of the Lost Ark,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,False,20000000
Coal Miner's Daughter,https://en.wikipedia.org/wiki/Coal_Miner%27s_Daughter_(film),False,
The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(film),False,5000000
Raging Bull,https://en.wikipedia.org/wiki/Raging_Bull,False,18000000
Tess,https://en.wikipedia.org/wiki/Tess_(1979_film),False,12000000
Atlantic City,https://en.wikipedia.org/wiki/Atlantic_City_(1980_film),False,7200000
On Golden Pond,https://en.wikipedia.org/wiki/On_Golden_Pond_(1981_film),False,15000000
The Lion in Winter,https://en.wikipedia.org/wiki/The_Lion_in_Winter_(1968_film),False,4000000
Guess Who's Coming to Dinner,https://en.wikipedia.org/wiki/Guess_Who%27s_Coming_to_Dinner,False,4000000
Twelve O'Clock High,https://en.wikipedia.org/wiki/Twelve_O%27Clock_High,False,
The Defiant Ones,https://en.wikipedia.org/wiki/The_Defiant_Ones,False,778000
Seven Brides for Seven Brothers,https://en.wikipedia.org/wiki/Seven_Brides_for_Seven_Brothers,False,2540000
Three Coins in the Fountain,https://en.wikipedia.org/wiki/Three_Coins_in_the_Fountain_(film),False,1700000
Love Is a Many-Splendored Thing,https://en.wikipedia.org/wiki/Love_Is_a_Many-Splendored_Thing_(film),False,1780000
Mister Roberts,https://en.wikipedia.org/wiki/Mister_Roberts_(1955_film),False,2300000
Picnic,https://en.wikipedia.org/wiki/Picnic_(1955_film),False,3000000
The Rose Tattoo,https://en.wikipedia.org/wiki/The_Rose_Tattoo_(film),False,
Friendly Persuasion,https://en.wikipedia.org/wiki/Friendly_Persuasion_(1956_film),False,3000000
Giant,https://en.wikipedia.org/wiki/Giant_(1956_film),False,5400000
The King and I,https://en.wikipedia.org/wiki/The_King_and_I_(1956_film),False,4550000
The Ten Commandments,https://en.wikipedia.org/wiki/The_Ten_Commandments_(1956_film),False,13000000
12 Angry Men,https://en.wikipedia.org/wiki/12_Angry_Men_(1957_film),False,337000
Peyton Place,https://en.wikipedia.org/wiki/Peyton_Place_(film),False,1800000
Sayonara,https://en.wikipedia.org/wiki/Sayonara,False,
Witness for the Prosecution,https://en.wikipedia.org/wiki/Witness_for_the_Prosecution_(1957_film),False,2000000
Auntie Mame,https://en.wikipedia.org/wiki/Auntie_Mame_(film),False,
The Country Girl,https://en.wikipedia.org/wiki/The_Country_Girl_(1954_film),False,
The Caine Mutiny,https://en.wikipedia.org/wiki/The_Caine_Mutiny_(film),False,2000000
Shane,https://en.wikipedia.org/wiki/Shane_(film),False,1500000
Quo Vadis,https://en.wikipedia.org/wiki/Quo_Vadis_(1951_film),False,7600000
Born Yesterday,https://en.wikipedia.org/wiki/Born_Yesterday_(1950_film),False,
Father of the Bride,https://en.wikipedia.org/wiki/Father_of_the_Bride_(1950_film),False,1215000
King Solomon's Mines,https://en.wikipedia.org/wiki/King_Solomon%27s_Mines_(1950_film),False,2300000
Sunset Boulevard,https://en.wikipedia.org/wiki/Sunset_Boulevard_(film),False,1750000
Decision Before Dawn,https://en.wikipedia.org/wiki/Decision_Before_Dawn,False,
A Place in the Sun,https://en.wikipedia.org/wiki/A_Place_in_the_Sun_(1951_film),False,2300000
A Streetcar Named Desire,https://en.wikipedia.org/wiki/A_Streetcar_Named_Desire_(1951_film),False,1800000
Roman Holiday,https://en.wikipedia.org/wiki/Roman_Holiday,False,1500000
High Noon,https://en.wikipedia.org/wiki/High_Noon,False,730000
Ivanhoe,https://en.wikipedia.org/wiki/Ivanhoe_(1952_film),False,3842000
Moulin Rouge,https://en.wikipedia.org/wiki/Moulin_Rouge_(1952_film),False,1100000
The Quiet Man,https://en.wikipedia.org/wiki/The_Quiet_Man,False,1750000
Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar_(1953_film),False,2070000
The Robe,https://en.wikipedia.org/wiki/The_Robe_(film),False,4099999
Cat on a Hot Tin Roof,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False,2300000
Separate Tables,https://en.wikipedia.org/wiki/Separate_Tables_(film),False,
The Graduate,https://en.wikipedia.org/wiki/The_Graduate,False,3000000
Anatomy of a Murder,https://en.wikipedia.org/wiki/Anatomy_of_a_Murder,False,
Lilies of the Field,https://en.wikipedia.org/wiki/Lilies_of_the_Field_(1963_film),False,240000
Becket,https://en.wikipedia.org/wiki/Becket_(1964_film),False,3000000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://en.wikipedia.org/wiki/Dr._Strangelove,False,1800000
Mary Poppins,https://en.wikipedia.org/wiki/Mary_Poppins_(film),False,4400000
Zorba the Greek,https://en.wikipedia.org/wiki/Zorba_the_Greek_(film),False,783000
Darling,https://en.wikipedia.org/wiki/Darling_(1965_film),False,1100000
Doctor Zhivago,https://en.wikipedia.org/wiki/Doctor_Zhivago_(film),False,11000000
Ship of Fools,https://en.wikipedia.org/wiki/Ship_of_Fools_(film),False,
A Thousand Clowns,https://en.wikipedia.org/wiki/A_Thousand_Clowns,False,1000000
Alfie,https://en.wikipedia.org/wiki/Alfie_(1966_film),False,500000
"The Russians Are Coming, the Russians Are Coming","https://en.wikipedia.org/wiki/The_Russians_Are_Coming,_the_Russians_Are_Coming",False,
The Sand Pebbles,https://en.wikipedia.org/wiki/The_Sand_Pebbles_(film),False,12100000
Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False,7500000
Bonnie and Clyde,https://en.wikipedia.org/wiki/Bonnie_and_Clyde_(film),False,2500000
Doctor Dolittle,https://en.wikipedia.org/wiki/Doctor_Dolittle_(1967_film),False,17000000
How the West Was Won,https://en.wikipedia.org/wiki/How_the_West_Was_Won_(film),False,14483000
Cleopatra,https://en.wikipedia.org/wiki/Cleopatra_(1963_film),False,31100000
America America,https://en.wikipedia.org/wiki/America_America,False,
The Sundowners,https://en.wikipedia.org/wiki/The_Sundowners_(1960_film),False,
The Diary of Anne Frank,https://en.wikipedia.org/wiki/The_Diary_of_Anne_Frank_(1959_film),False,3800000
The Nun's Story,https://en.wikipedia.org/wiki/The_Nun%27s_Story_(film),False,3500000
Room at the Top,https://en.wikipedia.org/wiki/Room_at_the_Top_(1959_film),False,nan
The Alamo,https://en.wikipedia.org/wiki/The_Alamo_(1960_film),False,12000000
Elmer Gantry,https://en.wikipedia.org/wiki/Elmer_Gantry_(film),False,
Sons and Lovers,https://en.wikipedia.org/wiki/Sons_and_Lovers_(film),False,805000
Fanny,https://en.wikipedia.org/wiki/Fanny_(1961_film),False,
To Kill a Mockingbird,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(film),False,
The Guns of Navarone,https://en.wikipedia.org/wiki/The_Guns_of_Navarone_(film),False,6000000
The Hustler,https://en.wikipedia.org/wiki/The_Hustler,False,2100000
Judgment at Nuremberg,https://en.wikipedia.org/wiki/Judgment_at_Nuremberg,False,3000000
The Longest Day,https://en.wikipedia.org/wiki/The_Longest_Day_(film),False,7750000
The Music Man,https://en.wikipedia.org/wiki/The_Music_Man_(1962_film),False,
Mutiny on the Bounty,https://en.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1962_film),False,19000000
