name,url,winner,budget
The Godfather,https://en.wikipedia.org/wiki/The_Godfather,True,6000000
The Sting,https://en.wikipedia.org/wiki/The_Sting,True,
From Here to Eternity,https://en.wikipedia.org/wiki/From_Here_to_Eternity,True,1700000
The French Connection,https://en.wikipedia.org/wiki/The_French_Connection_(film),True,1800000
Patton,https://en.wikipedia.org/wiki/Patton_(film),True,12600000
Oliver!,https://en.wikipedia.org/wiki/Oliver!_(film),True,10000000
In the Heat of the Night,https://en.wikipedia.org/wiki/In_the_Heat_of_the_Night_(film),True,
A Man for All Seasons,https://en.wikipedia.org/wiki/A_Man_for_All_Seasons_(1966_film),True,2000000
The Sound of Music,https://en.wikipedia.org/wiki/The_Sound_of_Music_(film),True,8199999
My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady_(film),True,17000000
Midnight Cowboy,https://en.wikipedia.org/wiki/Midnight_Cowboy,True,
Lawrence of Arabia,https://en.wikipedia.org/wiki/Lawrence_of_Arabia_(film),True,15000000
Around the World in 80 Days,https://en.wikipedia.org/wiki/Around_the_World_in_80_Days_(1956_film),True,6000000
West Side Story,https://en.wikipedia.org/wiki/West_Side_Story_(1961_film),True,6750000
The Apartment,https://en.wikipedia.org/wiki/The_Apartment,True,3000000
Ben-Hur,https://en.wikipedia.org/wiki/Ben-Hur_(1959_film),True,15200000
On the Waterfront,https://en.wikipedia.org/wiki/On_the_Waterfront,True,910000
Gigi,https://en.wikipedia.org/wiki/Gigi_(1958_film),True,3300000
The Bridge on the River Kwai,https://en.wikipedia.org/wiki/The_Bridge_on_the_River_Kwai,True,2800000
Marty,https://en.wikipedia.org/wiki/Marty_(film),True,350000
A Serious Man,https://en.wikipedia.org/wiki/A_Serious_Man,False,7000000
Up,https://en.wikipedia.org/wiki/Up_(2009_film),False,175000000
Up in the Air,https://en.wikipedia.org/wiki/Up_in_the_Air_(2009_film),False,25000000
Black Swan,https://en.wikipedia.org/wiki/Black_Swan_(film),False,13000000
The Fighter,https://en.wikipedia.org/wiki/The_Fighter,False,25000000
Inception,https://en.wikipedia.org/wiki/Inception,False,160000000
The Social Network,https://en.wikipedia.org/wiki/The_Social_Network,False,40000000
The Kids Are All Right,https://en.wikipedia.org/wiki/The_Kids_Are_All_Right_(film),False,4000000
127 Hours,https://en.wikipedia.org/wiki/127_Hours,False,18000000
Extremely Loud & Incredibly Close,https://en.wikipedia.org/wiki/Extremely_Loud_%26_Incredibly_Close_(film),False,40000000
Toy Story 3,https://en.wikipedia.org/wiki/Toy_Story_3,False,
True Grit,https://en.wikipedia.org/wiki/True_Grit_(2010_film),False,35000000
Winter's Bone,https://en.wikipedia.org/wiki/Winter%27s_Bone,False,2000000
Inglourious Basterds,https://en.wikipedia.org/wiki/Inglourious_Basterds,False,70000000
The Descendants,https://en.wikipedia.org/wiki/The_Descendants,False,20000000
Precious: Based on the Novel 'Push' by Sapphire,https://en.wikipedia.org/wiki/Precious_(film),False,
